country_iso3,country_name,indicator_id,indicator_label,pathway,theme,risk_measure,variable,unit,higher_is_worse,year,value,source_name,source_dataset,source_url,retrieved_at
DZA,Algeria,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2017,60,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
DZA,Algeria,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2018,33,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
DZA,Algeria,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2020,26,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
DJI,Djibouti,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2008,35,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
EGY,Egypt,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2014,184,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
EGY,Egypt,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2015,767,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
EGY,Egypt,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2016,355,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
EGY,Egypt,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2017,497,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
EGY,Egypt,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2018,680,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
EGY,Egypt,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2019,637,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
EGY,Egypt,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2020,527,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
EGY,Egypt,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2021,112,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
EGY,Egypt,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2022,231,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
IRQ,Iraq,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2003,7927,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
IRQ,Iraq,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2004,4094,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
IRQ,Iraq,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2005,2608,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
IRQ,Iraq,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2006,3923,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
IRQ,Iraq,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2007,2212,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
IRQ,Iraq,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2008,2112,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
IRQ,Iraq,conflict_ucdp_battle_deaths_total,Battle-related deaths (count),Context,Conflict,Context,Battle-related deaths in the country in the year (best estimate),deaths,True,2009,1036,Uppsala Conflict Data Program (UCDP),UCDP Battle-Related Deaths Dataset v24.1,https://ucdp.uu.se/downloads/,2026-09-10T00:22:39+00:00
